ReserveCode,ReserveName,ReserveState,ReserveWebsite,NERRAPage
APA,Apalachicola Bay,FL,,https://www.nerra.org/reserve/apalachicola-reserve/
ACE,Ashepoo Combahee Edisto Basin,SC,http://www.dnr.sc.gov/marine/NERR/,https://www.nerra.org/reserve/ace-basin-reserve/
CBM,Chesapeake Bay MD,MD,http://dnr.maryland.gov/Waters/cbnerr/,https://www.nerra.org/reserve/chesapeake-bay-reserve-maryland/
CBV,Chesapeake Bay VA,VA,http://www.vims.edu/cbnerr,https://www.nerra.org/reserve/chesapeake-bay-reserve-virginia/
DEL,Delaware,DE,https://dnrec.alpha.delaware.gov/coastal-programs/research-reserve/,https://www.nerra.org/reserve/delaware-reserve/
ELK,Elkhorn Slough,CA,https://www.elkhornslough.org/,https://www.nerra.org/reserve/elkhorn-slough-reserve/
GND,Grand Bay,MS,http://grandbaynerr.org/,https://www.nerra.org/reserve/grand-bay-reserve/
GRB,Great Bay,NH,http://www.greatbay.org/,https://www.nerra.org/reserve/great-bay-reserve/
GTM,Guana Tolomato Matanzas,FL,https://www.gtmnerr.org/,https://www.nerra.org/reserve/guana-tolomato-matanzas-gtm-reserve/
HEE,Heeia,HI,http://heeianerr.org/,https://www.nerra.org/reserve/heeia-reserve/
HUD,Hudson River,NY,https://www.hrnerr.org/,https://www.nerra.org/reserve/hudson-river-reserve/
JAC,Jacques Cousteau,NJ,https://jcnerr.org/,https://www.nerra.org/reserve/jacques-cousteau-reserve/
JOB,Jobos Bay,PR,http://drna.pr.gov/jbnerr/,https://www.nerra.org/reserve/jobos-bay-reserve/
KAC,Kachemak Bay,AK,https://kachemakbayreserve.org/,https://www.nerra.org/reserve/kachemak-bay-reserve/
LKS,Lake Superior,WI,https://lakesuperiornerr.org/,https://www.nerra.org/reserve/lake-superior-reserve/
MAR,Mission Aransas,TX,https://missionaransas.org/,https://www.nerra.org/reserve/mission-aransas-reserve/
NAR,Narragansett Bay,RI,http://nbnerr.org/,https://www.nerra.org/reserve/narragansett-bay-reserve/
NIW,North Inlet-Winyah Bay,SC,http://www.northinlet.sc.edu/,https://www.nerra.org/reserve/north-inlet-winyah-bay-reserve/
NOC,North Carolina,NC,http://www.nccoastalreserve.net/,https://www.nerra.org/reserve/north-carolina-reserve/
OWC,Old Woman Creek,OH,https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/old-woman-creek-nerr-state-nature-preserve,https://www.nerra.org/reserve/old-woman-creek-reserve/
PDB,Padilla Bay,WA,https://ecology.wa.gov/Water-Shorelines/Shoreline-coastal-management/Padilla-Bay-reserve,https://www.nerra.org/reserve/padilla-bay-reserve/
RKB,Rookery Bay,FL,https://rookerybay.org/,https://www.nerra.org/reserve/rookery-bay-reserve/
SAP,Sapelo Island,GA,http://sapelonerr.org/,https://www.nerra.org/reserve/sapelo-island-reserve/
SFB,San Francisco Bay,CA,http://www.sfbaynerr.org/,https://www.nerra.org/reserve/san-francisco-bay-reserve/
SOS,South Slough,OR,http://www.oregon.gov/DSL/SS/Pages/About.aspx,https://www.nerra.org/reserve/south-slough-reserve/
TJR,Tijuana River,CA,http://trnerr.org/,https://www.nerra.org/reserve/tijuana-river-reserve/
WKB,Weeks Bay,AL,http://www.outdooralabama.com/lands/weeks-bay-reserve,https://www.nerra.org/reserve/weeks-bay/
WQB,Waquoit Bay,MA,http://www.waquoitbayreserve.org/,https://www.nerra.org/reserve/waquoit-bay-reserve/
WEL,Wells,ME,https://www.wellsreserve.org/,https://www.nerra.org/reserve/wells-reserve/
